Item ID,Item Name,Description,Price,Category,Calories,Option 1 Name,Option 1 Additional Price,Option 2 Name,Option 2 Additional Price,Availability Status
044,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",5.86,Main Course,223,Vanilla Ice Cream,0.78,,,Not Available
045,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,12.12,Beverage,430,Vanilla Ice Cream,2.15,Extra Cheese,2.53,Available
046,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",15.74,Appetizer,656,Avocado,2.27,Extra Cheese,1.36,Not Available
047,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,15.27,Appetizer,696,,,,,Available
048,Veggie Burger,Creamy matcha tea blend with milk and ice,14.32,Dessert,653,,,Avocado,1.06,Not Available
049,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",18.51,Appetizer,201,Extra Cheese,2.54,Almond Milk,1.45,Not Available
050,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",9.52,Main Course,155,Almond Milk,2.27,,,Not Available
051,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,8.14,Main Course,758,Chicken Strips,0.55,,,Available
052,Veggie Burger,"Romaine lettuce with Caesar dressing, croutons, and parmesan",16.93,Main Course,458,Almond Milk,1.18,Extra Cheese,2.14,Available
053,Caesar Salad,Creamy matcha tea blend with milk and ice,16.27,Main Course,162,Avocado,1.36,Almond Milk,1.05,Available
054,Veggie Burger,Creamy matcha tea blend with milk and ice,16.08,Main Course,347,,,Avocado,2.15,Available
055,Margherita Pizza,Warm chocolate cake with a molten chocolate center,14.7,Main Course,744,Vanilla Ice Cream,2.88,Chicken Strips,2.65,Not Available
056,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",13.18,Dessert,346,Avocado,2.62,,,Available
057,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",5.45,Main Course,200,Almond Milk,2.39,Avocado,2.66,Available
058,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",13.4,Dessert,545,Extra Cheese,2.85,Chicken Strips,0.85,Not Available
059,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",7.07,Appetizer,684,Almond Milk,2.32,,,Not Available
060,Veggie Burger,"Romaine lettuce with Caesar dressing, croutons, and parmesan",9.55,Main Course,601,,,,,Available
061,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",12.99,Dessert,103,Almond Milk,1.24,,,Available
062,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",10.19,Beverage,350,,,Chicken Strips,2.16,Available
063,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,6.86,Dessert,517,Avocado,0.92,,,Not Available
064,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",19.85,Dessert,712,,,Almond Milk,1.33,Available
065,Caesar Salad,Creamy matcha tea blend with milk and ice,6.18,Beverage,109,Vanilla Ice Cream,1.14,,,Available
066,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,16.62,Beverage,706,,,Almond Milk,1.18,Available
067,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,8.89,Main Course,106,,,,,Available
068,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,14.17,Main Course,230,,,Vanilla Ice Cream,1.47,Not Available
069,Caesar Salad,A hearty burger with a plant-based patty and fresh toppings,19.96,Dessert,130,,,Extra Cheese,2.38,Not Available
070,Veggie Burger,Creamy matcha tea blend with milk and ice,18.88,Main Course,331,,,Avocado,2.84,Available
071,Veggie Burger,"Classic pizza with fresh mozzarella, tomatoes, and basil",17.03,Main Course,455,,,,,Available
072,Margherita Pizza,Creamy matcha tea blend with milk and ice,12.78,Dessert,574,Almond Milk,2.34,,,Available
073,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",18.49,Dessert,759,,,Chicken Strips,2.45,Available
074,Veggie Burger,Creamy matcha tea blend with milk and ice,11.33,Beverage,402,Vanilla Ice Cream,2.59,,,Available
075,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,16.36,Beverage,344,,,Chicken Strips,1.05,Not Available
076,Caesar Salad,A hearty burger with a plant-based patty and fresh toppings,8.61,Main Course,305,,,,,Not Available
077,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",9.32,Beverage,277,Extra Cheese,1.94,,,Available
078,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",10.92,Main Course,549,,,,,Not Available
079,Caesar Salad,Creamy matcha tea blend with milk and ice,19.67,Beverage,410,,,,,Not Available
080,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",18.23,Main Course,439,Chicken Strips,1.47,,,Available
081,Caesar Salad,Creamy matcha tea blend with milk and ice,16.25,Dessert,365,Chicken Strips,1.47,,,Not Available
082,Caesar Salad,Creamy matcha tea blend with milk and ice,13.35,Main Course,700,Extra Cheese,1.05,Avocado,1.77,Not Available
083,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",19.1,Main Course,364,,,,,Not Available
084,Margherita Pizza,Warm chocolate cake with a molten chocolate center,10.38,Dessert,317,Vanilla Ice Cream,0.85,,,Available
085,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,6.74,Dessert,494,Chicken Strips,2.9,,,Not Available
086,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.81,Dessert,165,Chicken Strips,2.83,,,Not Available
087,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,5.07,Main Course,354,,,Extra Cheese,2.14,Available
088,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",19.66,Dessert,177,Almond Milk,0.75,,,Not Available
089,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,18.25,Main Course,757,Vanilla Ice Cream,2.99,,,Not Available
090,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,7.84,Dessert,453,,,Almond Milk,2.45,Not Available
091,Margherita Pizza,Creamy matcha tea blend with milk and ice,9.14,Main Course,395,Almond Milk,1.47,,,Available
092,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",8.21,Beverage,289,,,,,Not Available
093,Margherita Pizza,"Classic pizza with fresh mozzarella, tomatoes, and basil",12.86,Main Course,330,Avocado,1.59,,,Not Available
094,Veggie Burger,Creamy matcha tea blend with milk and ice,5.68,Main Course,647,,,Chicken Strips,2.74,Not Available
095,Caesar Salad,Creamy matcha tea blend with milk and ice,13.12,Main Course,116,Almond Milk,0.73,,,Not Available
096,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.15,Beverage,516,,,Chicken Strips,1.24,Not Available
097,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.08,Dessert,410,Almond Milk,1.34,Chicken Strips,0.71,Not Available
098,Veggie Burger,Creamy matcha tea blend with milk and ice,8.0,Dessert,717,,,,,Not Available
099,Veggie Burger,Warm chocolate cake with a molten chocolate center,8.78,Beverage,516,Extra Cheese,1.78,,,Available
100,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,18.39,Appetizer,198,,,,,Available
101,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",9.39,Main Course,790,Vanilla Ice Cream,2.52,Avocado,1.8,Not Available
102,Veggie Burger,Creamy matcha tea blend with milk and ice,6.52,Dessert,797,Almond Milk,0.76,Extra Cheese,0.92,Not Available
103,Caesar Salad,A hearty burger with a plant-based patty and fresh toppings,14.14,Main Course,444,Almond Milk,2.28,,,Available
104,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,6.74,Appetizer,605,Chicken Strips,1.71,,,Available
105,Caesar Salad,Warm chocolate cake with a molten chocolate center,9.37,Dessert,790,,,,,Not Available
106,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.37,Beverage,530,Almond Milk,0.76,,,Not Available
107,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",13.67,Main Course,421,Avocado,1.41,,,Not Available
108,Veggie Burger,Creamy matcha tea blend with milk and ice,5.85,Main Course,536,Vanilla Ice Cream,2.91,,,Not Available
109,Caesar Salad,Creamy matcha tea blend with milk and ice,9.33,Appetizer,794,Extra Cheese,0.62,Chicken Strips,2.6,Not Available
110,Margherita Pizza,Creamy matcha tea blend with milk and ice,5.01,Beverage,183,,,,,Available
111,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",17.67,Dessert,638,Vanilla Ice Cream,1.98,,,Not Available
112,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",11.3,Appetizer,790,Vanilla Ice Cream,1.18,,,Available
113,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,14.78,Main Course,118,Extra Cheese,2.36,Extra Cheese,2.12,Not Available
114,Caesar Salad,Warm chocolate cake with a molten chocolate center,5.08,Main Course,562,,,Vanilla Ice Cream,2.9,Not Available
115,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,19.37,Main Course,132,,,Almond Milk,2.64,Not Available
116,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,9.52,Dessert,283,Chicken Strips,2.69,,,Not Available
117,Margherita Pizza,Creamy matcha tea blend with milk and ice,13.79,Beverage,540,,,Vanilla Ice Cream,1.16,Not Available
118,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,15.62,Main Course,413,Chicken Strips,2.01,,,Available
119,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",18.72,Dessert,540,,,Chicken Strips,2.85,Not Available
120,Caesar Salad,Warm chocolate cake with a molten chocolate center,16.97,Appetizer,594,,,,,Not Available
121,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,18.36,Dessert,419,,,,,Not Available
122,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",9.18,Beverage,134,,,,,Available
123,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,12.89,Dessert,379,Avocado,2.6,,,Available
124,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",16.96,Appetizer,776,Avocado,2.88,Almond Milk,2.8,Not Available
125,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",15.4,Main Course,519,Almond Milk,2.86,,,Not Available
126,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",18.72,Appetizer,103,Avocado,0.83,,,Available
127,Margherita Pizza,Warm chocolate cake with a molten chocolate center,6.48,Beverage,188,Almond Milk,0.68,,,Not Available
128,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,6.68,Dessert,290,Extra Cheese,1.82,Extra Cheese,2.31,Not Available
129,Veggie Burger,Warm chocolate cake with a molten chocolate center,7.25,Appetizer,680,,,,,Not Available
130,Caesar Salad,A hearty burger with a plant-based patty and fresh toppings,19.62,Main Course,277,,,,,Not Available
131,Margherita Pizza,Creamy matcha tea blend with milk and ice,11.24,Appetizer,687,,,Avocado,1.92,Not Available
132,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,8.22,Main Course,110,,,Vanilla Ice Cream,0.78,Not Available
133,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,16.16,Dessert,476,,,Vanilla Ice Cream,1.08,Not Available
134,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",15.2,Beverage,556,,,Avocado,0.54,Not Available
135,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",7.18,Appetizer,429,,,Extra Cheese,1.81,Available
136,Margherita Pizza,Warm chocolate cake with a molten chocolate center,14.13,Beverage,212,,,Avocado,2.74,Not Available
137,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,13.59,Beverage,426,Extra Cheese,2.4,,,Available
138,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,11.41,Beverage,664,Vanilla Ice Cream,1.34,Chicken Strips,2.78,Not Available
139,Iced Matcha Latte,A hearty burger with a plant-based patty and fresh toppings,16.27,Appetizer,317,Avocado,1.03,,,Not Available
140,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",17.19,Appetizer,511,,,,,Available
141,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",16.71,Main Course,313,Extra Cheese,2.22,,,Available
142,Veggie Burger,Warm chocolate cake with a molten chocolate center,11.63,Dessert,453,Vanilla Ice Cream,2.55,Vanilla Ice Cream,1.85,Available
143,Veggie Burger,Creamy matcha tea blend with milk and ice,15.8,Dessert,112,Extra Cheese,2.79,,,Not Available
144,Veggie Burger,"Romaine lettuce with Caesar dressing, croutons, and parmesan",17.6,Main Course,315,Vanilla Ice Cream,1.35,Chicken Strips,1.17,Not Available
145,Margherita Pizza,"Classic pizza with fresh mozzarella, tomatoes, and basil",10.71,Main Course,304,Avocado,1.09,,,Available
146,Caesar Salad,Creamy matcha tea blend with milk and ice,12.96,Dessert,672,,,Avocado,2.87,Available
147,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",9.52,Appetizer,417,,,,,Not Available
148,Veggie Burger,Warm chocolate cake with a molten chocolate center,18.27,Appetizer,126,,,,,Available
149,Margherita Pizza,Warm chocolate cake with a molten chocolate center,7.0,Dessert,706,,,,,Available
150,Iced Matcha Latte,A hearty burger with a plant-based patty and fresh toppings,10.16,Main Course,777,,,Extra Cheese,0.51,Available
151,Margherita Pizza,Creamy matcha tea blend with milk and ice,12.41,Beverage,667,,,Chicken Strips,0.53,Not Available
152,Veggie Burger,"Romaine lettuce with Caesar dressing, croutons, and parmesan",10.94,Main Course,402,Vanilla Ice Cream,2.59,Avocado,1.54,Not Available
153,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,13.48,Main Course,331,,,Avocado,2.48,Available
154,Margherita Pizza,Warm chocolate cake with a molten chocolate center,11.46,Beverage,465,Vanilla Ice Cream,2.37,Chicken Strips,2.01,Not Available
155,Veggie Burger,Warm chocolate cake with a molten chocolate center,14.89,Beverage,352,,,Extra Cheese,2.63,Available
156,Margherita Pizza,Creamy matcha tea blend with milk and ice,9.56,Main Course,493,Extra Cheese,2.13,Avocado,0.83,Not Available
157,Margherita Pizza,"Classic pizza with fresh mozzarella, tomatoes, and basil",19.03,Appetizer,755,Chicken Strips,0.86,Almond Milk,2.99,Available
158,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,5.53,Main Course,332,Avocado,2.89,,,Available
159,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.19,Beverage,491,Chicken Strips,1.2,,,Available
160,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,8.66,Appetizer,617,,,Vanilla Ice Cream,0.84,Available
161,Margherita Pizza,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.99,Beverage,287,,,,,Available
162,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",12.95,Appetizer,314,,,,,Not Available
163,Margherita Pizza,Creamy matcha tea blend with milk and ice,13.93,Appetizer,501,,,Extra Cheese,2.58,Available
164,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",16.52,Main Course,527,Vanilla Ice Cream,2.07,Chicken Strips,2.1,Available
165,Veggie Burger,Warm chocolate cake with a molten chocolate center,9.25,Main Course,386,Chicken Strips,1.84,Extra Cheese,1.45,Available
166,Caesar Salad,Warm chocolate cake with a molten chocolate center,11.28,Beverage,443,,,,,Available
167,Margherita Pizza,Warm chocolate cake with a molten chocolate center,14.69,Main Course,277,,,,,Not Available
168,Veggie Burger,"Romaine lettuce with Caesar dressing, croutons, and parmesan",9.3,Dessert,374,,,Almond Milk,2.67,Available
169,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",10.71,Beverage,216,,,Extra Cheese,1.26,Available
170,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,12.7,Main Course,344,Almond Milk,2.29,Avocado,1.36,Available
171,Chocolate Lava Cake,"Classic pizza with fresh mozzarella, tomatoes, and basil",12.51,Main Course,688,Vanilla Ice Cream,0.76,,,Available
172,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,15.37,Beverage,269,Extra Cheese,0.73,Almond Milk,2.85,Available
173,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,16.42,Beverage,442,,,,,Not Available
174,Caesar Salad,A hearty burger with a plant-based patty and fresh toppings,12.99,Beverage,375,Vanilla Ice Cream,1.83,Extra Cheese,0.59,Not Available
175,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",11.41,Beverage,163,,,Almond Milk,0.72,Not Available
176,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,16.02,Dessert,407,Avocado,0.64,,,Not Available
177,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,11.27,Main Course,643,,,Extra Cheese,2.94,Not Available
178,Veggie Burger,Warm chocolate cake with a molten chocolate center,7.21,Appetizer,149,Extra Cheese,0.56,Chicken Strips,1.35,Available
179,Margherita Pizza,Warm chocolate cake with a molten chocolate center,16.04,Beverage,596,Chicken Strips,2.38,,,Available
180,Veggie Burger,"Classic pizza with fresh mozzarella, tomatoes, and basil",6.52,Dessert,357,,,,,Available
181,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,5.75,Main Course,712,,,,,Available
182,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",16.25,Beverage,512,Chicken Strips,1.16,,,Available
183,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,12.57,Appetizer,284,Chicken Strips,1.68,Almond Milk,1.75,Not Available
184,Veggie Burger,"Classic pizza with fresh mozzarella, tomatoes, and basil",19.37,Main Course,162,Almond Milk,1.61,Extra Cheese,2.45,Available
185,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",19.75,Main Course,636,,,Almond Milk,1.84,Not Available
186,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,10.75,Beverage,504,,,Chicken Strips,1.58,Available
187,Margherita Pizza,Warm chocolate cake with a molten chocolate center,13.33,Main Course,748,Chicken Strips,0.6,Avocado,2.3,Available
188,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",5.01,Main Course,354,,,Avocado,1.47,Available
189,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,8.43,Dessert,772,Chicken Strips,2.1,Vanilla Ice Cream,0.63,Not Available
190,Margherita Pizza,Creamy matcha tea blend with milk and ice,14.59,Appetizer,276,Vanilla Ice Cream,2.32,Almond Milk,1.44,Not Available
191,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,8.09,Main Course,779,,,,,Available
192,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,5.65,Main Course,101,Vanilla Ice Cream,2.35,,,Available
193,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,13.02,Main Course,373,Vanilla Ice Cream,2.42,Chicken Strips,2.69,Not Available
194,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",14.8,Main Course,722,,,,,Not Available
195,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",11.16,Appetizer,328,Vanilla Ice Cream,1.51,Chicken Strips,1.64,Not Available
196,Iced Matcha Latte,A hearty burger with a plant-based patty and fresh toppings,10.47,Main Course,704,Almond Milk,2.42,,,Not Available
197,Caesar Salad,Creamy matcha tea blend with milk and ice,5.74,Appetizer,255,,,,,Not Available
198,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,14.53,Dessert,505,,,,,Available
199,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,11.65,Beverage,165,,,,,Available
200,Veggie Burger,Creamy matcha tea blend with milk and ice,12.9,Main Course,772,,,,,Not Available
201,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,8.1,Dessert,169,,,Chicken Strips,2.7,Available
202,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",16.38,Main Course,765,,,Extra Cheese,1.75,Not Available
203,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",6.24,Main Course,242,Almond Milk,2.59,Avocado,2.54,Not Available
204,Veggie Burger,Warm chocolate cake with a molten chocolate center,8.59,Main Course,769,Vanilla Ice Cream,0.88,Avocado,2.93,Available
205,Veggie Burger,"Classic pizza with fresh mozzarella, tomatoes, and basil",5.76,Main Course,654,Chicken Strips,1.88,Vanilla Ice Cream,1.91,Available
206,Veggie Burger,A hearty burger with a plant-based patty and fresh toppings,6.0,Main Course,346,,,Chicken Strips,2.39,Not Available
207,Caesar Salad,Warm chocolate cake with a molten chocolate center,13.34,Appetizer,704,,,Extra Cheese,1.17,Available
208,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,8.21,Main Course,296,Extra Cheese,1.65,Vanilla Ice Cream,0.55,Available
209,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",13.92,Dessert,552,Almond Milk,1.98,,,Available
210,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,5.86,Main Course,151,Vanilla Ice Cream,2.66,Extra Cheese,2.04,Available
211,Veggie Burger,Creamy matcha tea blend with milk and ice,14.15,Appetizer,465,Almond Milk,0.64,Avocado,1.66,Not Available
212,Veggie Burger,Warm chocolate cake with a molten chocolate center,12.51,Dessert,725,Chicken Strips,2.84,Avocado,1.68,Not Available
213,Margherita Pizza,"Classic pizza with fresh mozzarella, tomatoes, and basil",10.76,Beverage,642,,,Almond Milk,0.52,Available
214,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,6.68,Main Course,566,,,,,Not Available
215,Veggie Burger,Creamy matcha tea blend with milk and ice,19.62,Main Course,634,Almond Milk,0.86,Almond Milk,0.62,Available
216,Veggie Burger,Creamy matcha tea blend with milk and ice,11.29,Appetizer,475,,,Extra Cheese,0.86,Not Available
